Row Labels,Sum of Lootboxes
r9YEcpCzqTdv7dQXVmKpn28537t7CPuZZn,1
ravdsKSTZHDWNZYy87CLRed6pNnGfxaMJH,1
rB6SmwR9aMgPWaTXoy9NwGe9gXxNtktW4x,1
rDawEkYoqXwdSppcYcf7NE3YkiPGdgspT8,1
rDbqyF67f2wy99QG3WTp2pEWdAL5VRxazR,1
rDCaHRw96So5njYDvuj4sSPjxmHftmg6fk,1
rDdEGJSujW3YTMtmX19F33hjUoQYFcS8tZ,1
rDDn6AgPTsmPDcPqA1zEHpeE3MELh6Uxer,1
rDEnLwWnikpnhbeEHYbjAnBUjhBB9qokDh,1
rDHoLzWug3ySCWtg8D2tQ2WdRPsKkpG9tL,1
rDoQvzCe9VUWLdSrghYPNgRUHdYgL5fdZo,1
rDReN3oeBDmSgoZeJxc3GRA5JN7shrw96d,1
rDS2RGk3byuTjUn31crskLAQWkKyqZS8gU,1
rEMmFnGv4d3L1xZswSoH5gR6hM2MVFzsiy,1
rfuHXK3tUUvMxXdYHreCyY2muKEqHtjjhs,1
rfungi3cbQKGX9vzVmS4j1UxBNjajjpjyK,1
rGsgTa5dWDYiS4o8J1ZFsPdoy8td6CEZ8p,1
rGUAiTzsmRjaAUCHryj8t7KkiqTBZ6Npno,1
rGYGs6R2Se5Hjqx3RWwULYmGYpLm3pmZiL,1
rHnFB88YJisqkVkiPYABdhvUWPGVu74BVQ,1
rhPsvChAkg7qsQJ7QSCzTz8Ni8JedDBAg3,1
rhSTwqSK13zdRmzHMZZP8i7DnuG27pwX76,1
rhV97jcBijshXnXUUihMvw7DHhZW5xBtYV,1
rHw1NVcLRy2TtP54br126BMnLRp8SJEGa8,1
rJADeEHPeMqkq7pzYi4gTyaReQ3siLFgES,1
rJeisyNsf1qj6oTds8Fp3uEKiqo6TGy91Q,1
rJqkaBDasgdU132Lhg1MxWeZiXuTUvqGgg,1
rJTFTBiU8eGjUBoVuTxrrwyWNVaPa4oHri,1
rK7A5Xik6byA9WKF8HEdA8rXLQKnnrsUWY,1
rL8VGmcFxoNYrDb2mv9YgzshAYVQK5F4iP,1
rL9V1JhauNWZzDVWBXXiEGDe8g3S1t5wah,1
rLAgJLoJYQwVtgbonKoLibdckUtwJqAuwY,1
rLgMwv2d4rF5aioN1geoVctG37FZX5hpkA,1
rMsZProT3MjyCHP6FD9tk4A2WrwDMc6cbE,1
rMZUAPDUJk1qgHmnQj212iJYsk6eP5JXz6,1
rNBoiDuQfDgr4HRrCErB7CPE2qrDt2836D,1
rnpdeeTYKQvSbgn431DaJyJC9rtUxw8i3i,1
rNV3mDAafqpd6ae97wRhprGesVztCAK5Ao,1
rnx7XC299SDrxc7w178tGsPpGT6yY5kFqa,1
rpWiUQujzYbezRYH4ntR6MVAi7xBjwSQFY,1
rrh1HThwbAWAeU88Ccx9L9gj9c9yUsB2Xy,1
rsAbXB4zViSBq7WHBPzRVcLNih3D24JhTc,1
rsc1Lfe66UcWJJ7KtbZ1GzR3LyftgvP6ap,1
rsuUjfWxrACCAwGQDsNeZUhpzXf1n1NK5Z,1
rsY93hT9gei2aWB1ZG5C4G3SLdsSpcxsfF,1
rwt56UuQhB6GBMjZUt9aABitDJNUDwHGG6,1
